track_id,lat,lon,timestamp,notes
ALPHA-01,38.8977,-77.0365,2025-03-01T08:00:00Z,Departed Washington DC
ALPHA-01,39.2904,-76.6122,2025-03-01T09:15:00Z,Passing Baltimore - Speed: 65mph
ALPHA-01,39.9526,-75.1652,2025-03-01T10:45:00Z,Arrived Philadelphia
ALPHA-01,40.2206,-74.7699,2025-03-01T11:30:00Z,Trenton waypoint
ALPHA-01,40.7128,-74.0060,2025-03-01T12:45:00Z,Arrived New York City
BRAVO-02,42.3601,-71.0589,2025-03-01T07:00:00Z,Departed Boston - Heading: 225
BRAVO-02,41.8240,-71.4128,2025-03-01T07:50:00Z,Providence RI
BRAVO-02,41.3083,-72.9279,2025-03-01T08:55:00Z,New Haven CT
BRAVO-02,41.0534,-73.5387,2025-03-01T09:40:00Z,Stamford area
BRAVO-02,40.7128,-74.0060,2025-03-01T10:30:00Z,Arrived New York City
CHARLIE-03,39.7392,-104.9903,2025-03-01T06:00:00Z,Departed Denver - Alt: 5280ft
CHARLIE-03,39.1911,-106.8175,2025-03-01T07:45:00Z,Leadville pass - Alt: 10200ft
CHARLIE-03,39.1836,-106.8236,2025-03-01T08:00:00Z,Summit checkpoint
CHARLIE-03,39.5501,-107.3248,2025-03-01T09:15:00Z,Glenwood Springs
CHARLIE-03,39.0639,-108.5506,2025-03-01T10:30:00Z,Grand Junction - Speed: 70mph
CHARLIE-03,38.5733,-109.5498,2025-03-01T12:00:00Z,Moab UT - End of route
